0;경제와 관련되어 있는 요소입니다.
목록을 만들 때, 해당 사유지의 소유자는 가격과 사용될 [Currency]를 설정해야 합니다. 모든 수입은 설정되어 있는 [Bank Account|Bank Accounts]로 들어가게 됩니다.

증서를 구매할 때, 화폐는 구매자가 설정해두었던 은행 계좌에서 자동으로 인출됩니다.

소유지가 팔리고 난 이후, 해당 소유지 안에 있던 모든 물품까지 포함해 증서와 함께 새로운 소유자에게 양도됩니다.
16;증서 판매 요소는 주민들이 소유지를 구매 또는 혹은 판매와 관련된 것에 포함됩니다.
17;환전 요소는 주민이 특정 [Currency]를 다른 화폐로 교환하는 환전 행위와 관련된 것에 포함됩니다.
18;화폐 환전하기
19;[CurrencyExchangeItem]의 사용자는 환전 요소를 이용하여 다른 주민에게 환전을 제안할 수 있습니다. 환전을 하기 위해 준비하려면, 소유자의 화폐가 판매 상태가 되어야 합니다. 소유자의 설정한 단위가 결제될 때마다, 주민이 교환하려는 화폐가 자동으로 변환되어 교환됩니다.

[Authorized Consumer|Authorization Component]가 화폐 환전을 이용하려 한다면, 교환하고자 하는 모든 화폐의 목록을 확인 할 수 있습니다. 기본값으로, 모든 주민은 권한이 부여된 고객으로 설정됩니다.
20;환전 한도
21;환전소의 소유자는 잔액의 한도를 설정할 수 있습니다. 자신의 계좌 잔고가 해당 한도를 만족하지 못하는 주민은 환전이 불가합니다.

왼쪽에 있는 숫자는 필요한 최소 화폐 보유량을, 오른쪽에 있는 숫자는 필요한 최대 화폐 보유량을 나타냅니다. 만약 둘 중 하나의 값이 0으로 설정되어있다면, 잔액의 한도와 상관없이 환전을 할 수 있습니다
22;주민들이 환전소를 설치할 수 있게 됩니다.
23;물품 배급 요소는 호의의 행동으로서 새로운 주민들의 번영을 위해 노력하는 것으로, 새로운 주민들에게 무료로 물품을 나누어 주는 구조물과 관련된 것에 포함됩니다.
24;조건(플레이 한 시간에 따라 구분됨)에 부합하는 모든 주민들은 [DistributionStationItem]에 들러 물품을 배급 받을 수 있습니다. 세계에 처음 발을 들이게 되면, 새로 온 주민들이 아이템을 받을 수 있는 장소가 세계 지도에서 마커로 표기 됩니다. 새로 온 주민들이 물품을 가져갈 수 있도록 배급 될 물품들이 [Storage Component]와 관련된 구조물에 충분히 보관되어있는지 확인해 주어야 합니다.

배급소의 소유자는 어떠한 물건을 배급 할 것인지, 얼마나 배급할 것인지, 또 배급 할 주민의 조건(플레이 한 시간에 따라 구분됨)을 설정할 수 있습니다.
25;소유자가 호의의 행동으로서 새로운 주민들의 번영을 위해 노력하는 것으로, 새로운 주민들에게 무료로 물품을 나누어 줄 수 있게 됩니다.
26;조폐기 요소는 자원을 담보 물품으로 사용해 [Currencies|Currency]를 생산하는 구조물에 포함되어 있습니다.
27;[MintItem]에서 화폐를 생산하려면, 화폐의 가치를 보증할 담보 물품을 선택하고, 그 물품을 소모할 때 얼마만큼의 화폐를 생산할 것인지 정해야 합니다. 물품을 담보로 이용해 화폐를 생산 함으로써, 해당 물품의 소모량에 따라 화폐의 최대 생산량이 정해질 것이며, 그에 대한 결과로 새로 나온 이 화폐가 시장에서 과도하게 발행되는 것을 방지할 수 있습니다. 이렇게 담보 물품이 화폐의 생산에 영향을 주기에, 일반적으로 획득하기 어려운 물품으로 설정할수록, 화폐의 가치가 안정될 것입니다.

설정한 담보 물품과 물품당 화폐 생산량의 수는 변경이 불가하니, 화폐를 생산하고자 하면 신중히 설정해 주십시오. 화폐 생산이 시작되면, 설정해둔 정보가 조폐기에 입력된 상태가 되어, 다시 회수한다고 해도 생산정보가 초기화되지 않습니다.

[Authorization Component]를 통해 소비자 권리를 부여받은 주민은 조폐기를 이용하여 화폐를 추가로 생산할 수 있습니다. 조폐기의 소유자가 화폐를 생산할 경우엔, 소유자가 설정해둔 [Bank Account|Bank Accounts]에 입금이 되며, 시민이 생산해낸 경우 [Bank Component]를 이용해 은행 계좌에 입금할 수 있습니다.
28;주민이 담보 화폐를 만들어 내고 인쇄할 수 있게 됩니다.
29;상점 요소는 주민들이 다른 주민에게 물품을 사거나 파는 구조물에 포함되어 있습니다. 상점의 소유자가 접속 중이 아니더라도, 해당 구조물에서 거래가 가능합니다.
30;상점에서 거래를 할 때 [Credit Component]에 해당하는 화폐와 은행 계좌가 이용됩니다. 상점에서 화폐를 '없음'으로 설정해 둔다면, 따로 세금의 부과가 없이 물물 거래를 할 수 있습니다.

상점의 소유자는 [Storage Component]에 해당하는 구조물을 상점과 연결해 상점의 보관함으로 사용할 수 있습니다. 기본값으로, 처음 설치한 장소에서 가까운 모든 보관 구조물들과 연결이 됩니다.

판매 목록을 만들려면 가격만 설정하면 됩니다. 판매 물품의 재고의 경우는, 연결되어있는 보관 구조물에 의해 자동으로 관리가 됩니다.

구매 목록을 만들려면, 구매하려는 가격과 자신이 구매할 최대 개수를 결정해야 합니다. 최대 구매 개수가 0으로 설정되어있다면, 연결되어있는 보관 구조물이 꽉 찰 때까지 구매합니다. 최대 구매 개수가 특정 숫자로 설정되어있다면, 물품을 팔려는 주민은 해당하는 만큼만 물품을 팔 수 있습니다.

내구도가 존재하는 도구의 경우, 구매하려는 도구의 최소 내구도를 설정할 수 있으며, 설정해둔 내구도보다 높거나 같을 경우에만 상점에서 거래가 가능합니다.
32;Sets up an interface for other citizens to buy and sell goods from/to you automatically.
33;정부와 관련된 요소입니다.
34;참정권 요소는 주민들이 특정 구조물에 따라 사임 또는 [Elections]의 투표권과 [Executive Actions]를 행사할 수 있습니다.
35;투표권 행사하기
36;참정권 요소가 포함되어 있는 [Ballot Box|Ballot Box Item]을 이용하여, 주민은 [Elected Titles]를 가지기 위해 출마하거나 선거를 할 수 있습니다.

투표 버튼을 누르면, 플레이어들은 진행 중인 [Elections]들을 볼 수 있는 웹 페이지로 이동해, 다른 주민들과 이에 관해 의견을 나누거나, [Data]를 이용하여 자신의 주장을 뒷받침해 토론을 하거나, 투표를 할 수 있습니다.

진행 중인 [Election Process|Election Processes]에 거부권을 가지고 있는 주민은 선거에서 권한을 행사할 수 있습니다.

공직자 직위를 얻으려면, 우선 권한이 있는 주민이 선거를 제시 시작해야 합니다. 선거가 시작되면, 권한이 있는 주민들은 선거에 출마하여 연설하게 됩니다. 선거 후보는 투표함에 있는 기능으로 언제든지 선거 출마를 취소할 수 있습니다.
37;행정 업무 관리하기
38;참정권 요소가 포함된 [Executive Office|Executive Office Item]를 이용하여 공직자 직위를 가진 이가 특정 주민 집단에게 할당되는 일회성 행정 업무를 볼 수 있게 됩니다.

주민들에게 적용될 행정 업무의 결과는 특정 주민에게만 적용할 수도, 영향력에 따라 각각의 집단에게 여러 가지의 결과를 적용할 수 있습니다. 모든 주민을 대상으로 결과를 적용하고자 한다면, [Demographic]를 이용해 주민 집단을 '모두'로 설정해 주십시오.

각 주민 집단들은 행정 업무에서 결정이 나는 사항은 그 즉시 적용이 됩니다. 집단의 조건에 충족하는 주민들 역시 각자 조건에 맞는 결과가 적용됩니다.
39;정부 부서 업무
40;참정권 요소를 포함하고 있는 [Government Office|Government Office Item]에서는, 공직자 직위에서 사퇴하거나 다른 공직자 직위를 폐지할 수 있습니다.

부서 업무에서 사퇴하기 기능을 통해 선거에서 선출된 직위에서 사퇴할 수 있습니다. 만약 그 뒤를 이을 새로운 공직자 직위가 개설된다면, 해당 직위를 가지고 있던 주민 중 한 명이 무작위로 선정됩니다. 만일 해당 직위를 가지고 있는 주민이 아무도 없다면, 그 직위의 자리는 공석이 됩니다.

권한을 부여받은 주민들은 부서 업무를 통해 공직자 직위를 폐지할 수 있습니다. 직위가 폐지되어 공직자가 사퇴 당할 경우 후임자를 찾는 규칙은 일반적인 사퇴의 경우와 똑같이 적용됩니다.
41;주민들이 선거에 선거에서 자신의 권리를 행사하고 행정 업무를 보는 일을 할 수 있게 됩니다.
42;    주권 구조물 요소는 주민들이 법을 건의하고, 개정하고, 폐지하는 다양한 주권 구조물에 포함되어있습니다.
43;주민의 의무
44;주권 구조물 요소가 포함된 구조물에선, 지켜야 할 [Civic Duties]의 목록을 볼 수 있습니다. 이를 통해 주권 구조물에 의해 제정된 법률이 있는지 주민에게 알려줍니다. 주민이 지켜야 할 종류의 주권의 의무는 다음과 같습니다:
45;주권 구조물 요소는 주민들이 법을 건의하고, 개정하고, 폐지하는 다양한 주권 구조물에 포함되어있습니다.
46;직위개설 부서 요소는 선거를 통해 뽑는 게 아닌 [Titles]를 개설하고 관리하는 구조물에 포함됩니다. 이 직위들은 [Elected Titles]와 비슷한 목적으로 사용되지만, 직위등록 부서에서 등록할 수 있습니다.
47;직위 관리
48;직위 관리자는 직위의 이름을 변경하고 새로운 관리자를 임명할 수 있는 직위의 보유자입니다.
직위 관리자는 일반적인 직위 사용자와 구분되어 있습니다. 직위 사용자는 해당 직위를 보유하고 있는 주민으로, 직위를 유지하기 위해 조건을 지켜야 하며, 혜택을 받을 수 있습니다.
49;고급 설정
50;고급설정에서는, 직위를 가지고 있는 주민들의 직위 요구사항을 설정하거나, 직위를 가지고 있는 주민 중 시간당 봉급을 줄 주민을 선정할 수 있습니다.

직위를 가지고 있는 사람들이 지켜야 할 요구사항을 정할 때 다양한 조건을 설정할 수 있습니다. 해당 요구사항들을 지키는 데에 실패한 주민은, 직위 사용자에서 박탈당할 것입니다. '조건 모음'을 이용해,  직위를 가지고 있는 주민들이 지켜야 할 여러 가지 수칙들을 정할 수 있습니다.

직위 사용자들에게 줄 봉급은 직위 관리자가 [Bank Component]를 이용해 설정한 [Bank Account|Bank Accounts]에서 지출됩니다. 봉급은 매 시간마다(세계 설정마다 다름) 각 직위 사용자의 개인 계좌로 송금됩니다. 접속 중이 아닌 시간대에 봉급을 지급하지 않는 종류도 설정할 수 있습니다.
51;공직자-직위가 아닌 직위를 생성하고 관리할 수 있습니다.
52;국고 요소를 포함한 구조물은 '국고에서 세금을 설정할 수 있는 권리'를 부여받은 [Elected Titles]를 가진 주민이 세율을 조정하고 세계의 기본 화폐를 설정할 수 있게 됩니다.
53;세금
54;국고에서 [Taxes]에 관해 설정을 하고 나면, 관련된 모든 거래에 자동으로 적용이 됩니다. 이로 인해 거둬들인 이익은 국고의 [Bank Account|Bank Accounts]에 자동으로 이동하게 됩니다. 공직자 직위를 가진 이가 '정부의 재무 관리 권한'을 설정하여 국고 계좌([Credit Component]의 기능인 계좌를 선택을 이용)를 사용하여 거래를 할 수 있게 됩니다. 주민들을 위한 재정에 관한 [Laws]을 시행하여 국고에서 화폐를 꺼내올 수 있습니다.
55;세계 기본 화폐
56;세계 기본 화폐는 크레딧 요소를 포함하고 있는 새로운 구조물을 설치할 때 기본적으로 설정 되는 [Currency]입니다. 주민들은 [Trade]를 할 때 다른 화폐를 선택할 수 있지만, 화폐를 통일하여 사용하는 것이 튼튼한 경제 구조를 만들게 될 것입니다.
57;직접세
58;'국고에서 세금을 설정할 권리'를 가지고 있는 공직자는 주민들에게 직접 세금을 거두거나 자금을 지원할 수 있습니다. 이 기능을 이용해 사용하고자 하는 화폐와 어떤 주민에게 직접세를 적용할 것인지 선택할 수 있습니다. 공직자는 어째서 이렇게 적용했는지 모든 주민이 볼 수 있게 그 이유를 알려주어야 합니다.
국고 관리에선 국고 계좌에서 화폐를 삭제할 수 있는 권한이 있습니다. 이 기능을 사용하면 해당 화폐는 영구적으로 삭제되니, 담보 화폐의 경우 이 기능을 사용할 때 주의를 기울여야 합니다.
59; 주민이 세금을 관리하고 세계 기본 화폐를 설정할 수 있는 권한을 가진 공직자 직위를 가질 수 있게 됩니다.
60;하우징에 관련된 요소입니다.
61;권한 요소는 주민들이 구조물에 대해 특정한 권한을 가질 수 있게 합니다.
62;여기서 말하는 증서는 간단히 설명하면 [Property]의 증서로, 구조물에 권한에 대한 증서 입니다([Vehicle|Vehicle Component]).

권한이 있는 소비자의 경우 이 목록에 추가할 수 있습니다, 또는 [Titles]나 [Demographics]같은 특정 집단도 목록에 추가 가능합니다. 목록에 추가되면 일부 제한되어있는 권한이더라도 상호작용 할 수 있습니다. 상점을 예로 들자면, 소비를 할 수 있는 권한을 가진 주민이 상점에서 구매 및 판매 행위를 할 수 있지만, 전체 통제 권한을 가진 주민은 상점에 어떤 물건을 팔지 정할 수 있고, 상점 자체를 옮기는 것도 가능합니다.

설치 가능한 구조물은 모두 권한 요소를 포함하고 있습니다.
63;주민들이 주어진 구조물과 상호작용 할 권한을 설정할 수 있게 됩니다.
64;침대는 모든 주민이 동시에 사용 중(또는 접속하지 않았을 때)일 때 시간을 가속할 수 있게 됩니다.
(해당 기능은 기본적으로 단독서버 '관리자 없이도 구동되는 서버' 에서는 해제되어 있습니다, 하지만 서버 관리자가 해당 기능을 사용 설정할 수 있습니다.)
65;싱글 플레이어 서버 또는 잠자기 기능이 설정되어있는 서버에서 잠을 잘 수 있게 됩니다.
66;산업 기술과 관련된 요소입니다.
67;    제작 요소는 물품의 [Craft|Crafting]할 경우, 자원 또는 노동력을 사용할 경우, 또는 현재 진행 중인 작업을 취소할 때 사용됩니다. [Work Party|Work Parties]에 참여할 경우엔, 동업 계약에 참여한 주민들도 제작 요소를 이용할 수 있습니다.
68;물품 제작하기
69;제작할 물품의 종류와 개수를 결정을 하고 나면, 작업을 시작하기 위해선 자원과 노동력이 필요합니다. 이 자원들은 직접 추가하거나(작업대에 직접 추가하는 방법) 해당 자원이 보관되어있는 [Storage Component]에 연결하여 추가할 수 있습니다.

자신의 [Specialty|Specialties]와 관련 있는 주민의 경우 노동력을 추가할 때 더 적은 양의 칼로리를 소모합니다. 그중 특정 노동력이 필요한 작업의 경우엔 해당 특기를 가지고 있는 주민이 필요합니다. 칼로리 감소의 경우 작업 주문의 완료 이후 적용되니 다양한 기술을 가진 주민들이 하나의 동업계약에서 협업해야 합니다.

[Modules Component]의 업그레이드 부품을 추가하면, 작업대에서 작업 주문을 할 때 필요한 작업 시간과 자원의 소모량이 감소합니다.

작업이 완료되기 전 취소하면 (주문 아이콘을 오른쪽 클릭으로 취소할 수 있음), 소모된 자원은 회수할 수 있지만 소모된 노동력은 잃게 됩니다.
70;노동력 사용하기
71;노동력이 필요한 행동을 하면, [Calories|Nutrition]가 소모됩니다. 작업 주문이 시작되면, 주민들은 제작 요소에서 '작업' 버튼을 눌러 노동력을 충당할 수 있습니다.

일단 작업이 시작되면, 제작 요소 창에서 벗어난 상태에서 작업대를 오른쪽 클릭해 빠르게 노동력을 추가할 수 있습니다. 이 방법으로 노동력을 추가할 때, '컨트롤키'를 누른 상태로 추가하면 5배의 노동력을 한 번에 추가할 수 있습니다. '알트키'의 경우 자신이 소모할 수 있는 모든 칼로리를 소모해 노동력을 추가합니다.
72;물품 태그
73;몇몇 조합법의 물품 태그는 해당 태그에 해당하는 비슷한 종류의 물품을 재료로 사용할 수 있습니다. 예를 들어, 물품을 '바위' 로 특정한다면, '바위' 태그가 붙은 모든 물품을 재료로 사용할 수 있습니다 ([GraniteItem], [BasaltItem], 등등).

물품 태그가 같을 경우 자동으로 소모되니, 다른 재료를 선택해 다시 주문을 생성할 필요 없습니다.
74;상위 조합법
75;몇몇 조합법은 '상위 조합법'이라 불리는, 더 큰 조합법의 한 부분으로 포함되어 있습니다. 상위 조합법 중 하나를 제작하려면, 하위 조합법 중 하나를 골라 제작할 수 있습니다. 제작하는 하위 조합법의 개수는 상위 조합법의 개수에 카운트됩니다.

기본값으로, 조합법에서 사용할 수 있는 재료만 나타나게 설정되어 있습니다. '모두 보기'를 체크하면, 상위 조합법에 포함되는 모든 물품을 확인 할 수 있습니다.
76;제작 요소는 물품을 제작하고 작업에 노동력을 추가하는 데에 사용됩니다.
77; 모듈 요소는 주민들이 자신의 [Crafting]대에 업그레이드를 장착할 수 있게 됩니다. 업그레이드를 장착하면, 해당 작업대에서 주문한 작업은 제작 시간과 자원의 소모량이 감소됩니다.
78;업그레이드 부품 사용하기
79;업그레이드 부품은 다섯 가지의 단계가 있습니다. 1 단계의 업그레이드 부품은 자원 소모량과 제작 시간이 10% 감소합니다, 각 단계별로 각각 추가 감소합니다.

작업대의 진행 정도에 따라 다른 등급의 업그레이드 부품을 사용해야 합니다. 초기형 작업대에는 '기본 업그레이드' 부품을, 이후 제작하는 작업대에선 '고급 업그레이드' 부품이나 '현대식 업그레이드' 부품을 사용합니다. 각 업그레이드 부품은 총 5단계가 있고, 가장 높은 단계를 달성하면 특성 업그레이드가 가능합니다.

고정 재료를 사용하는 몇몇 조합법이 있습니다. 고정 재료는 재료 소모량 감소의 영향을 받지 않지만, 고정 재료가 포함된 조합법의 제작 시간 단축의 기능에는 영향을 주지 않습니다.
80;특성 업그레이드
81;가장 높은 단계의 업그레이드 부품은 해당하는 [Specialty|Specialties]를 가진 주민만 제작할 수 있습니다. 다른 업그레이드와는 달리, 이 단계의 업그레이드를 장착하면 특정 전문 기술이 필요한 제작을 할 때 자원의 소모량과 제작 시간이 추가로 감소합니다.

일부 특성과 관련된 작업대는 업그레이드 부품과 관련된 등급의 구분이 있습니다. 예를 들어, 전문 기술 [CarpentrySkill]에선 [CarpentryBasicUpgradeItem]을 사용하는 [CarpentryTableItem]가 있고 [CarpentryAdvancedUpgradeItem]을 사용하는 [SawmillItem]가 있습니다.
82;주민들이 자신의 작업대에 업그레이드 부품을 장착할 수 있게 됩니다.
83;파이프 요소를 이용해 시민이 구조물의 스모그 방출 정도나, 물 사용량, 하수의 흐름 상태를 알 수 있습니다.
84;스모그 배출
85;스모그 배출 툴팁을 확인하여, 현재 구조물들의 오염 배출 정도와 세계의 [Pollution] 정도에 대한 정보를 확인할 수 있습니다.

파이프를 이용하여 대기 오염의 흐름을 조정할 수 있습니다. 스모그 배출의 기능을 하는 파이프는 여러 개의 입구를 설정할 수 있지만, 출구는 모든 방(건물)의 바깥쪽이면서, 구조물의 위쪽에 위치해야 하며 하나만 설정할 수 있습니다.

대기오염을 유발하는 스모그를 만들어내는 구조물은 구조물이 작동 중일 때만 스모그가 발생합니다.
86;물과 하수
87;물을 공급받아야 하는 구조물과 물을 공급해주는 펌프는 파이프 시스템으로 연결되어 있습니다. 물을 사용하는 파이프 시스템은 물을 공급하는 입구인 펌프와 물을 공급받아야 할 여러 구조물의 출구를 연결할 수 있습니다.

파이프 요소가 포함된 수도 툴팁을 확인하여, 주민들이 펌프가 물을 얼마나 공급 중인지, 구조물들이 물을 얼마나 사용 중인지 확인할 수 있습니다. 공급되고 있는 물의 양이 충분하지 못하다면, 구조물들이 작동 중지 상태가 될 것입니다.

파이프엔 수도 파이프와 비슷한 기능을 하는 하수 배출 기능도 포함하고 있습니다, 하지만 [Sewage]의 경우, 배출되는 하수가 토양오염의 원인이 됩니다. [Waste Filters|Waste Filter Item]가 발명이 되고 나면, 하수를 배출하는 곳에 필터를 연결하여 토양 오염을 완화 할 수 있습니다.
88;파이프 요소는 주민들이 구조물의 스모그 배출량과 물 사용량의 정보를 확인할 수 있게 됩니다.
89;에너지 요소는 특정 장소의 전력망의 상황을 확인하는 데에 사용됩니다. 또한, 연료를 이용해 작동하는 구조물의 소비량을 확인하는 데에도 사용됩니다.
90;연료
91;연료를 소비하는 구조물은 이곳에서 연료를 공급할 수 있습니다, 또한 구조물은 다른 종류의 연료를 필요로 할 수도 있습니다. 구조물이 어떤 재료를 연료로 사용하는지에 대한 목록을 툴팁으로 확인할 수 있습니다. 연료는 [Storage Component]를 이용해서 공급해 줄 수도 있습니다.

구조물이 작동하는 동안, 연료 소모 단위인 와트(W)로 계산하여 매초 소모됩니다. 여러 종류의 연료마다, 얼마 만큼의 에너지가 발생하는지 환산한 단위인 줄(J)로 계산하여 나타냅니다. 초 당 소모되는 1와트당, 1줄 만큼의 에너지가 소모됩니다. 연료의 경우, 구조물이 작동 중이 아닐 시 소모를 중단합니다.
92;에너지 통계
93;구조물에서 사용하는 [Power]의 종류는 두 가지로, 전력과 기계동력이 있습니다. 전력망에선 구조물에서 필요한 에너지의 종류와 수급량에 관해 확인할 수 있습니다. 만약 구조물에 공급하는 에너지가 필요한 에너지의 양보다 작을 경우, 구조물은 작동 중지 상태가 됩니다.

연료를 사용하여 전력을 생산하는 구조물은 근처에 전력이 필요한 구조물이 없다면 자동으로 작동 중지됩니다. 그러므로 연료를 아끼기 위해 켜거나 끌 필요는 없습니다.
94;에너지 요소를 통해 전력과 연료의 수급에 관해 확인할 수 있습니다.
95;수리 요소를 이용해 주민들이 도구를 [ToolBenchItem]에서 수리할 수 있게 됩니다.
